City/Town,Ward,Pct,"Jonathan W. Blodgett","All Others",Blanks,"Total Votes Cast"
Newburyport,6,1,"1,158",0,467,"1,625"
Newburyport,1,P,304,0,135,439
"N. Andover",-,1,"1,131",0,360,"1,491"
"N. Andover",-,2,"1,280",0,451,"1,731"
"N. Andover",-,3,"1,133",0,409,"1,542"
"N. Andover",-,4,"1,418",0,528,"1,946"
"N. Andover",-,5,899,0,302,"1,201"
"N. Andover",-,6,"1,204",0,670,"1,874"
"N. Andover",-,7,"1,251",0,491,"1,742"
"N. Andover",-,8,"1,258",0,603,"1,861"
Peabody,1,1,"1,049",16,231,"1,296"
Peabody,1,2,"1,074",14,375,"1,463"
Peabody,1,3,"1,200",29,331,"1,560"
Peabody,2,1,708,11,124,843
Peabody,2,2,685,12,142,839
Peabody,2,3,893,10,214,"1,117"
Peabody,3,1,546,11,103,660
Peabody,3,2,785,16,173,974
Peabody,3,3,932,13,233,"1,178"
Peabody,4,1,968,17,257,"1,242"
Peabody,4,2,918,26,231,"1,175"
Peabody,4,3,587,11,157,755
Peabody,4,3A,919,2,355,"1,276"
Peabody,5,1,"1,075",20,354,"1,449"
Peabody,5,2,804,10,286,"1,100"
Peabody,5,3,978,18,333,"1,329"
Peabody,6,1,"1,063",24,438,"1,525"
Peabody,6,2,"1,005",18,398,"1,421"
Peabody,6,3,"1,052",18,391,"1,461"
Rockport,-,1,811,11,248,"1,070"
Rockport,-,2,"1,193",14,288,"1,495"
Rockport,-,3,"1,378",12,405,"1,795"
Rowley,-,1,"2,243",53,975,"3,271"
Salem,1,1,"1,338",14,304,"1,656"
Salem,1,2,616,5,85,706
Salem,2,1,"1,307",11,244,"1,562"
Salem,2,2,"1,456",12,260,"1,728"
Salem,3,1,959,1,218,"1,178"
Salem,3,2,979,14,226,"1,219"
Salem,4,1,"1,054",5,252,"1,311"
Salem,4,2,"1,110",14,261,"1,385"
Salem,5,1,"1,172",4,218,"1,394"
Salem,5,2,"1,019",4,149,"1,172"
Salem,6,1,"1,228",0,265,"1,493"
Salem,6,2,"1,135",12,209,"1,356"
Salem,7,1,"1,230",5,239,"1,474"
Salem,7,2,"1,057",18,252,"1,327"
Salisbury,-,1,"1,060",28,380,"1,468"
Salisbury,-,2,966,17,354,"1,337"
Salisbury,-,3,825,20,342,"1,187"
Saugus,-,1,706,0,370,"1,076"
Saugus,-,2,675,0,362,"1,037"
Saugus,-,3,734,0,399,"1,133"
Saugus,-,4,631,0,363,994
Saugus,-,5,811,0,506,"1,317"
Saugus,-,6,751,0,364,"1,115"
Saugus,-,7,714,0,544,"1,258"
Saugus,-,8,745,0,428,"1,173"
Saugus,-,9,775,0,490,"1,265"
Saugus,-,10,688,0,317,"1,005"
Swampscott,-,1,896,5,313,"1,214"
Swampscott,-,2,"1,100",2,285,"1,387"
Swampscott,-,3,918,4,226,"1,148"
Swampscott,-,4,"1,061",6,338,"1,405"
Swampscott,-,5,959,8,324,"1,291"
Swampscott,-,6,"1,102",10,336,"1,448"
Topsfield,-,1,"2,549",0,"1,065","3,614"
Wenham,-,1,"1,546",0,586,"2,132"
"W. Newbury",-,1,"1,875",10,760,"2,645"
TOTALS,,,"236,742","2,960","77,562","317,264"
