City/Town,Ward,Pct,"Joseph D. Early, Jr.","Blake J. Rubin","All Others",Blanks,"Total Votes Cast"
Fitchburg,5,B,446,106,0,30,582
Fitchburg,6,A,881,308,0,94,"1,283"
Fitchburg,6,B,577,171,0,54,802
Gardner,1,A,608,251,1,42,902
Gardner,1,B,237,97,0,18,352
Gardner,2,A,489,215,0,54,758
Gardner,2,B,562,281,0,51,894
Gardner,3,A,414,170,0,31,615
Gardner,3,B,568,222,1,36,827
Gardner,4,A,466,211,0,36,713
Gardner,4,B,292,116,0,21,429
Gardner,5,A,393,172,0,29,594
Gardner,5,B,546,296,1,49,892
Grafton,-,1,"1,081",469,1,114,"1,665"
Grafton,-,2,"1,099",518,4,123,"1,744"
Grafton,-,3,"1,143",471,4,126,"1,744"
Grafton,-,4,938,397,0,97,"1,432"
Grafton,-,5,"1,287",455,1,148,"1,891"
Hardwick,-,1,648,420,1,72,"1,141"
Harvard,-,1,"2,290",728,6,348,"3,372"
Holden,-,1,"1,071",705,1,91,"1,868"
Holden,-,2,"1,187",690,1,84,"1,962"
Holden,-,3,"1,056",632,1,81,"1,770"
Holden,-,4,"1,220",797,1,88,"2,106"
Holden,-,5,"1,169",779,1,94,"2,043"
Hopedale,-,1,"1,906",739,5,235,"2,885"
Hubbardston,-,1,"1,270",877,0,144,"2,291"
Lancaster,-,1,988,498,1,121,"1,608"
Lancaster,-,2,"1,100",530,1,145,"1,776"
Leicester,-,1,751,420,1,62,"1,234"
Leicester,-,2,778,329,6,53,"1,166"
Leicester,-,3,678,384,1,70,"1,133"
Leicester,-,4,748,343,3,70,"1,164"
Leominster,1,A,826,415,1,103,"1,345"
Leominster,1,B,813,343,0,85,"1,241"
Leominster,1,C,633,239,0,58,930
Leominster,2,A,457,161,0,28,646
Leominster,2,B,634,258,0,53,945
Leominster,2,C,354,132,1,32,519
Leominster,3,A,564,224,3,44,835
Leominster,3,B,830,354,2,83,"1,269"
Leominster,3,C,883,399,0,93,"1,375"
Leominster,4,A,895,363,2,92,"1,352"
Leominster,4,B,839,360,0,101,"1,300"
Leominster,4,C,544,254,2,50,850
Leominster,5,A,625,234,0,51,910
Leominster,5,B,810,304,2,111,"1,227"
Leominster,5,C,559,205,0,37,801
Lunenburg,-,A,887,394,3,135,"1,419"
Lunenburg,-,B,804,342,3,71,"1,220"
Lunenburg,-,C,832,425,9,149,"1,415"
Lunenburg,-,D,768,372,4,136,"1,280"
Mendon,-,1,"1,774",916,2,241,"2,933"
Milford,-,1,551,195,2,73,821
Milford,-,2,858,276,2,120,"1,256"
Milford,-,3,838,332,5,100,"1,275"
Milford,-,4,639,222,2,94,957
Milford,-,5,"1,191",446,5,150,"1,792"
Milford,-,6,920,311,1,97,"1,329"
Milford,-,7,"1,109",447,3,138,"1,697"
Milford,-,8,"1,000",311,3,159,"1,473"
Millbury,-,1,913,404,1,83,"1,401"
Millbury,-,2,"1,105",535,2,99,"1,741"
Millbury,-,3,876,426,2,98,"1,402"
Millbury,-,4,867,409,1,83,"1,360"
Millville,-,1,747,479,0,71,"1,297"
"New Braintree",-,1,334,162,0,28,524
"N. Brookfield",-,1,"1,202",759,0,101,"2,062"
Northborough,-,1,"1,320",503,7,120,"1,950"
Northborough,-,2,"1,190",546,3,128,"1,867"
Northborough,-,3,"1,262",546,7,133,"1,948"
Northborough,-,4,"1,252",583,5,147,"1,987"
Northbridge,-,1,"1,060",514,1,122,"1,697"
Northbridge,-,2,"1,034",532,1,151,"1,718"
Northbridge,-,3,876,506,2,99,"1,483"
Northbridge,-,4,"1,256",655,1,239,"2,151"
Oakham,-,1,507,411,0,45,963
Oxford,-,1,851,486,5,75,"1,417"
Oxford,-,2,794,482,2,56,"1,334"
Oxford,-,3,861,537,1,63,"1,462"
Oxford,-,4,720,506,2,74,"1,302"
Paxton,-,1,"1,463",767,2,76,"2,308"
Petersham,-,1,462,225,0,47,734
Phillipston,-,1,468,339,0,37,844
Princeton,-,1,"1,324",606,3,127,"2,060"
Royalston,-,1,208,106,0,17,331
Royalston,-,2,150,68,0,15,233
Rutland,-,1,746,581,0,57,"1,384"
Rutland,-,2,804,558,0,59,"1,421"
Rutland,-,3,781,483,1,54,"1,319"
Shrewsbury,-,1,"1,319",539,0,121,"1,979"
Shrewsbury,-,2,"1,026",402,2,87,"1,517"
Shrewsbury,-,3,860,330,0,79,"1,269"
Shrewsbury,-,4,"1,063",399,0,102,"1,564"
Shrewsbury,-,5,"1,019",376,0,94,"1,489"
Shrewsbury,-,6,"1,193",437,0,120,"1,750"
Shrewsbury,-,7,"1,364",502,0,159,"2,025"
Shrewsbury,-,8,"1,348",469,0,149,"1,966"
Shrewsbury,-,9,799,274,0,59,"1,132"
Shrewsbury,-,10,"1,177",347,0,108,"1,632"
Southborough,-,1,"1,178",445,5,162,"1,790"
Southborough,-,2,"1,120",385,6,148,"1,659"
Southborough,-,3,"1,175",391,9,155,"1,730"
Southbridge,-,1,640,241,2,71,954
Southbridge,-,2,529,194,5,64,792
Southbridge,-,3,612,308,2,69,991
Southbridge,-,4,778,430,7,125,"1,340"
Southbridge,-,5,459,153,3,35,650
Spencer,-,1,694,384,2,42,"1,122"
Spencer,-,2,615,366,1,52,"1,034"
Spencer,-,3,702,460,0,49,"1,211"
Spencer,-,4,721,433,2,45,"1,201"
Sterling,-,1,"1,207",733,1,136,"2,077"
Sterling,-,2,"1,298",795,4,158,"2,255"
Sturbridge,-,1,920,507,1,103,"1,531"
Sturbridge,-,2,963,597,6,118,"1,684"
Sturbridge,-,3,903,445,8,83,"1,439"
Sutton,-,1,"1,001",587,0,117,"1,705"
Sutton,-,2,887,546,0,110,"1,543"
Sutton,-,3,921,421,0,108,"1,450"
Templeton,-,A,640,492,2,51,"1,185"
Templeton,-,B,622,401,3,62,"1,088"
Templeton,-,C,570,327,1,47,945
Upton,-,1,"1,312",557,0,198,"2,067"
Upton,-,2,"1,175",521,0,229,"1,925"
Uxbridge,-,1,949,566,0,120,"1,635"
Uxbridge,-,2,908,448,0,112,"1,468"
Uxbridge,-,3,826,529,0,103,"1,458"
Uxbridge,-,4,963,522,0,133,"1,618"
Warren,-,A,762,513,0,118,"1,393"
Warren,-,B,302,153,0,34,489
Webster,-,1,571,332,1,47,951
Webster,-,2,391,217,3,21,632
Webster,-,3,597,354,3,57,"1,011"
Webster,-,4,926,644,2,105,"1,677"
Webster,-,5,777,409,4,43,"1,233"
"W. Boylston",-,1,"1,011",485,3,89,"1,588"
"W. Boylston",-,2,"1,359",699,2,146,"2,206"
"W. Brookfield",-,1,"1,062",597,1,99,"1,759"
Westborough,-,1,784,243,3,84,"1,114"
Westborough,-,2,839,238,1,80,"1,158"
Westborough,-,3,"1,161",370,4,85,"1,620"
Westborough,-,4,"1,478",490,3,147,"2,118"
Westborough,-,5,"1,334",481,6,135,"1,956"
Westminster,-,1,"1,227",615,1,139,"1,982"
Westminster,-,2,"1,175",644,0,145,"1,964"
Winchendon,-,1,470,320,0,60,850
Winchendon,-,1A,161,93,0,18,272
Winchendon,-,2,714,442,2,83,"1,241"
Winchendon,-,3,689,460,2,69,"1,220"
Worcester,1,1,"1,233",443,4,87,"1,767"
Worcester,1,2,"1,308",425,2,93,"1,828"
Worcester,1,3,721,286,2,61,"1,070"
Worcester,1,4,"1,262",459,1,86,"1,808"
Worcester,1,5,"1,073",350,4,83,"1,510"
Worcester,2,1,"1,063",391,4,108,"1,566"
Worcester,2,2,"1,113",355,3,84,"1,555"
Worcester,2,3,953,348,5,100,"1,406"
Worcester,2,4,869,151,3,68,"1,091"
Worcester,2,5,371,66,2,25,464
Worcester,3,1,765,222,0,61,"1,048"
Worcester,3,2,272,60,1,18,351
Worcester,3,3,702,194,0,44,940
Worcester,3,4,445,109,1,35,590
Worcester,3,5,765,205,3,72,"1,045"
Worcester,4,1,449,128,1,36,614
Worcester,4,2,613,209,4,63,889
Worcester,4,3,452,79,2,25,558
Worcester,4,4,677,186,1,66,930
Worcester,4,5,886,236,0,82,"1,204"
Worcester,5,1,554,117,1,35,707
Worcester,5,2,900,244,2,49,"1,195"
Worcester,5,3,"1,058",332,5,86,"1,481"
Worcester,5,4,906,346,4,84,"1,340"
Worcester,5,5,922,269,7,61,"1,259"
Worcester,6,1,367,66,0,20,453
Worcester,6,2,540,116,4,28,688
Worcester,6,3,574,160,3,38,775
Worcester,6,4,311,92,0,26,429
Worcester,6,5,738,240,6,73,"1,057"
Worcester,7,1,951,258,1,64,"1,274"
Worcester,7,2,595,163,2,47,807
Worcester,7,3,841,246,2,70,"1,159"
Worcester,7,4,823,244,3,51,"1,121"
Worcester,7,5,876,297,3,59,"1,235"
Worcester,8,1,354,86,4,22,466
Worcester,8,2,375,80,4,16,475
Worcester,8,3,387,60,5,22,474
Worcester,8,4,530,102,8,48,688
Worcester,8,5,470,114,0,36,620
Worcester,9,1,935,249,7,64,"1,255"
Worcester,9,2,"1,110",366,1,81,"1,558"
Worcester,9,3,722,296,1,62,"1,081"
Worcester,9,4,"1,113",364,4,84,"1,565"
Worcester,9,5,"1,054",418,1,93,"1,566"
Worcester,10,1,467,120,3,46,636
Worcester,10,2,508,103,3,34,648
Worcester,10,3,407,55,4,54,520
Worcester,10,4,380,57,1,30,468
Worcester,10,5,397,59,2,23,481
TOTALS,,,"201,615","90,336",470,"20,323","312,744"
