City/Town,Ward,Pct,"Marian T. Ryan","Donna Patalano","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Burlington,-,2,833,0,17,304,"1,154"
Burlington,-,3,"1,115",0,27,493,"1,635"
Burlington,-,4,"1,050",0,24,440,"1,514"
Burlington,-,5,"1,262",0,30,562,"1,854"
Burlington,-,6,"1,183",0,24,547,"1,754"
Burlington,-,7,"1,222",0,23,478,"1,723"
Cambridge,1,1,"1,393",0,10,229,"1,632"
Cambridge,1,2,"1,076",0,12,202,"1,290"
Cambridge,1,3,"1,244",0,7,242,"1,493"
Cambridge,2,1,"1,044",0,4,156,"1,204"
Cambridge,2,2,393,0,2,56,451
Cambridge,2,3,651,0,5,122,778
Cambridge,3,1,"1,165",0,9,187,"1,361"
Cambridge,3,2,806,0,3,97,906
Cambridge,3,2A,554,0,4,102,660
Cambridge,3,3,"1,134",0,8,156,"1,298"
Cambridge,4,1,"1,417",0,12,182,"1,611"
Cambridge,4,2,"1,495",0,9,228,"1,732"
Cambridge,4,3,465,0,3,77,545
Cambridge,5,1,"1,341",0,8,203,"1,552"
Cambridge,5,2,"1,387",0,6,245,"1,638"
Cambridge,5,3,"1,057",0,3,174,"1,234"
Cambridge,6,1,"1,503",0,8,225,"1,736"
Cambridge,6,2,"1,312",0,10,219,"1,541"
Cambridge,6,3,"1,472",0,14,230,"1,716"
Cambridge,7,1,"1,452",0,11,194,"1,657"
Cambridge,7,2,766,0,8,117,891
Cambridge,7,3,436,0,3,54,493
Cambridge,8,1,992,0,9,152,"1,153"
Cambridge,8,2,"1,011",0,7,196,"1,214"
Cambridge,8,3,273,0,0,40,313
Cambridge,9,1,"1,672",0,8,337,"2,017"
Cambridge,9,2,"1,743",0,16,269,"2,028"
Cambridge,9,3,"1,446",0,7,204,"1,657"
Cambridge,10,1,"1,684",0,8,224,"1,916"
Cambridge,10,2,"1,635",0,6,281,"1,922"
Cambridge,10,3,"1,345",0,8,177,"1,530"
Cambridge,11,1,"1,285",0,4,145,"1,434"
Cambridge,11,2,"1,784",0,7,314,"2,105"
Cambridge,11,3,"1,436",0,12,234,"1,682"
Carlisle,-,1,"2,234",0,8,747,"2,989"
Chelmsford,-,1,"1,335",0,24,530,"1,889"
Chelmsford,-,2,"1,242",0,13,412,"1,667"
Chelmsford,-,3,"1,290",0,13,549,"1,852"
Chelmsford,-,4,"1,187",0,14,518,"1,719"
Chelmsford,-,5,"1,293",0,28,536,"1,857"
Chelmsford,-,6,"1,430",0,7,575,"2,012"
Chelmsford,-,7,"1,448",0,10,657,"2,115"
Chelmsford,-,8,"1,351",0,11,550,"1,912"
Chelmsford,-,9,"1,426",0,4,602,"2,032"
Concord,-,1,"1,543",0,4,413,"1,960"
Concord,-,2,"1,931",0,26,461,"2,418"
Concord,-,3,"1,661",0,9,474,"2,144"
Concord,-,4,"1,763",0,13,465,"2,241"
Concord,-,5,"1,117",0,11,300,"1,428"
Dracut,-,1,941,0,0,323,"1,264"
Dracut,-,2,860,0,0,290,"1,150"
Dracut,-,3,"1,036",0,0,431,"1,467"
Dracut,-,4,"1,161",0,0,601,"1,762"
Dracut,-,5,"1,025",0,0,425,"1,450"
Dracut,-,6,980,0,0,366,"1,346"
Dracut,-,6A,43,0,0,19,62
Dracut,-,7,934,0,0,362,"1,296"
